Leaf_ID,Pop_ID,Region,Lobes,Length,BLBW,MLBW,ALBW,LVL,UVL,UMLS,LMLS,LLA,ULA,MLA,LWR_1,LWR_2,LWR_3,LODR_1,LODR_2
QH-E-4-15a,E4,East,7,72,24,31,21,20,18,19,17,119,127,132,33.33333333,43.05555556,29.16666667,38.70967742,82.35294118
QH-E-4-16a,E4,East,9,62,16,23,9,17,26,15,12,112,141,140,25.80645161,37.09677419,14.51612903,34.7826087,91.66666667
QH-E-4-16b,E4,East,7,64,27,30,17,11,17,17,21,115,121,119,42.1875,46.875,26.5625,43.33333333,42.85714286
QH-E-4-17b,E4,East,10,66,22,20,9,12,18,15,18,110,136,138,33.33333333,30.3030303,13.63636364,25,11.11111111
QH-E-4-18b,E4,East,11,63,26,28,14,20,21,19,21,120,146,145,41.26984127,44.44444444,22.22222222,32.14285714,33.33333333
QH-E-5-1a,E5,East,7,46,17,19,15,10,12,15,14,111,152,162,36.95652174,41.30434783,32.60869565,21.05263158,35.71428571
QH-E-5-1b,E5,East,6,50,16,16,6,11,14,11,12,104,112,133,32,32,12,31.25,33.33333333
QH-E-5-2a,E5,East,9,61,19,24,11,14,22,19,17,109,145,140,31.14754098,39.3442623,18.03278689,20.83333333,41.17647059
QH-E-5-2b,E5,East,11,53,20,24,17,13,11,20,17,117,139,147,37.73584906,45.28301887,32.0754717,16.66666667,41.17647059
QH-E-5-3b,E5,East,8,49,16,14,10,14,8,12,12,127,148,165,32.65306122,28.57142857,20.40816327,14.28571429,16.66666667
QH-E-5-4a,E5,East,7,47,24,23,12,11,14,17,21,122,130,128,51.06382979,48.93617021,25.53191489,26.08695652,9.523809524
QH-E-5-4b,E5,East,10,58,19,27,9,18,26,18,25,128,129,148,32.75862069,46.55172414,15.51724138,33.33333333,8
QH-E-5-5a,E5,East,9,45,14,13,8,11,11,9,10,111,133,127,31.11111111,28.88888889,17.77777778,30.76923077,30
QH-E-5-5b,E5,East,9,58,21,19,13,28,13,14,16,130,138,167,36.20689655,32.75862069,22.4137931,26.31578947,18.75
QH-E-5-6b,E5,East,6,60,19,22,15,18,14,14,14,123,164,163,31.66666667,36.66666667,25,36.36363636,57.14285714
QH-E-5-7a,E5,East,11,46,12,19,7,15,20,16,15,121,133,142,26.08695652,41.30434783,15.2173913,15.78947368,26.66666667
